,total
2023-12-23 14:36:34.918195,186
2023-12-23 14:46:34.918195,186
2023-12-23 14:56:34.918195,186
2023-12-23 15:06:34.918195,186
2023-12-23 15:16:34.918195,186
2023-12-23 15:26:34.918195,186
2023-12-23 15:36:34.918195,186
2023-12-23 15:46:34.918195,186
2023-12-23 15:56:34.918195,186
2023-12-23 16:06:34.918195,186
2023-12-23 16:16:34.918195,186
2023-12-23 16:26:34.918195,186
2023-12-23 16:36:34.918195,186
2023-12-23 16:46:34.918195,186
2023-12-23 16:56:34.918195,186
2023-12-23 17:06:34.918195,186
2023-12-23 17:16:34.918195,186
2023-12-23 17:26:34.918195,186
2023-12-23 17:36:34.918195,186
2023-12-23 17:46:34.918195,186
2023-12-23 17:56:34.918195,186
2023-12-23 18:06:34.918195,186
2023-12-23 18:16:34.918195,186
2023-12-23 18:26:34.918195,186
2023-12-23 18:36:34.918195,186
2023-12-23 18:46:34.918195,186
2023-12-23 18:56:34.918195,186
2023-12-23 19:06:34.918195,186
2023-12-23 19:16:34.918195,186
2023-12-23 19:26:34.918195,186
2023-12-23 19:36:34.918195,186
2023-12-23 19:46:34.918195,186
2023-12-23 19:56:34.918195,186
2023-12-23 20:06:34.918195,186
2023-12-23 20:16:34.918195,186
2023-12-23 20:26:34.918195,186
2023-12-23 20:36:34.918195,186
2023-12-23 20:46:34.918195,186
2023-12-23 20:56:34.918195,186
2023-12-23 21:06:34.918195,186
2023-12-23 21:16:34.918195,186
2023-12-23 21:26:34.918195,186
2023-12-23 21:36:34.918195,186
2023-12-23 21:46:34.918195,186
2023-12-23 21:56:34.918195,186
2023-12-23 22:06:34.918195,186
2023-12-23 22:16:34.918195,186
2023-12-23 22:26:34.918195,186
2023-12-23 22:36:34.918195,186
2023-12-23 22:46:34.918195,186
2023-12-23 22:56:34.918195,186
2023-12-23 23:06:34.918195,186
2023-12-23 23:16:34.918195,186
2023-12-23 23:26:34.918195,186
2023-12-23 23:36:34.918195,186
2023-12-23 23:46:34.918195,186
2023-12-23 23:56:34.918195,186
2023-12-24 00:06:34.918195,186
2023-12-24 00:16:34.918195,186
2023-12-24 00:26:34.918195,186
2023-12-24 00:36:34.918195,186
2023-12-24 00:46:34.918195,186
2023-12-24 00:56:34.918195,186
2023-12-24 01:06:34.918195,186
2023-12-24 01:16:34.918195,186
2023-12-24 01:26:34.918195,186
2023-12-24 01:36:34.918195,186
2023-12-24 01:46:34.918195,186
2023-12-24 01:56:34.918195,186
2023-12-24 02:06:34.918195,186
2023-12-24 02:16:34.918195,186
2023-12-24 02:26:34.918195,186
2023-12-24 02:36:34.918195,186
2023-12-24 02:46:34.918195,186
2023-12-24 02:56:34.918195,186
2023-12-24 03:06:34.918195,186
2023-12-24 03:16:34.918195,186
2023-12-24 03:26:34.918195,186
2023-12-24 03:36:34.918195,186
2023-12-24 03:46:34.918195,186
2023-12-24 03:56:34.918195,186
2023-12-24 04:06:34.918195,186
2023-12-24 04:16:34.918195,186
2023-12-24 04:26:34.918195,186
2023-12-24 04:36:34.918195,186
2023-12-24 04:46:34.918195,186
2023-12-24 04:56:34.918195,186
2023-12-24 05:06:34.918195,186
2023-12-24 05:16:34.918195,186
2023-12-24 05:26:34.918195,186
2023-12-24 05:36:34.918195,186
2023-12-24 05:46:34.918195,186
2023-12-24 05:56:34.918195,186
2023-12-24 06:06:34.918195,186
2023-12-24 06:16:34.918195,186
2023-12-24 06:26:34.918195,186
2023-12-24 06:36:34.918195,186
2023-12-24 06:46:34.918195,186
2023-12-24 06:56:34.918195,186
2023-12-24 07:06:34.918195,186
2023-12-24 07:16:34.918195,186
2023-12-24 07:26:34.918195,186
2023-12-24 07:36:34.918195,186
2023-12-24 07:46:34.918195,186
2023-12-24 07:56:34.918195,186
2023-12-24 08:06:34.918195,186
2023-12-24 08:16:34.918195,186
2023-12-24 08:26:34.918195,186
2023-12-24 08:36:34.918195,186
2023-12-24 08:46:34.918195,186
2023-12-24 08:56:34.918195,186
2023-12-24 09:06:34.918195,186
2023-12-24 09:16:34.918195,186
2023-12-24 09:26:34.918195,186
2023-12-24 09:36:34.918195,186
2023-12-24 09:46:34.918195,186
2023-12-24 09:56:34.918195,186
2023-12-24 10:06:34.918195,186
2023-12-24 10:16:34.918195,186
2023-12-24 10:26:34.918195,186
2023-12-24 10:36:34.918195,186
2023-12-24 10:46:34.918195,186
2023-12-24 10:56:34.918195,186
2023-12-24 11:06:34.918195,186
2023-12-24 11:16:34.918195,186
2023-12-24 11:26:34.918195,187
2023-12-24 11:39:23.746066,188
2023-12-24 11:49:23.746066,188
2023-12-24 11:59:23.746066,188
2023-12-24 12:09:23.746066,188
2023-12-24 12:19:23.746066,188
2023-12-24 12:29:23.746066,188
2023-12-24 12:39:23.746066,188
2023-12-24 12:49:23.746066,188
2023-12-24 12:59:23.746066,188
2023-12-24 13:09:23.746066,188
2023-12-24 13:19:23.746066,188
2023-12-24 13:29:23.746066,188
2023-12-24 13:39:23.746066,188
2023-12-24 13:49:23.746066,188
2023-12-24 13:59:23.746066,188
2023-12-24 14:09:23.746066,188
2023-12-24 14:19:23.746066,188
2023-12-24 14:29:23.746066,190
